matrix,kernel,config,time_sec,na,gflops,eff_bw,err
bcsstk.mtx,CSR-v1,32,0.000033587,0.000000000,8.8778,61.8043,nan
bcsstk.mtx,CSR-v1,64,0.000013146,0.000000000,22.6829,157.9108,nan
bcsstk.mtx,CSR-v1,128,0.000015155,0.000000000,19.6751,136.9716,nan
bcsstk.mtx,CSR-v1,256,0.000024576,0.000000000,12.1330,84.4658,nan
bcsstk.mtx,ELL,32,0.000016947,0.000000000,17.5946,122.4882,nan
bcsstk.mtx,ELL,64,0.000012902,0.000000000,23.1104,160.8873,nan
bcsstk.mtx,ELL,128,0.000014336,0.000000000,20.7994,144.7986,nan
bcsstk.mtx,ELL,256,0.000023162,0.000000000,12.8739,89.6239,nan
cant.mtx,CSR-v1,32,0.000061069,0.000000000,131.2416,811.9928,-nan
cant.mtx,CSR-v1,64,0.000040608,0.000000000,197.3691,1221.1244,-nan
cant.mtx,CSR-v1,128,0.000051814,0.000000000,154.6822,957.0200,-nan
cant.mtx,CSR-v1,256,0.000100928,0.000000000,79.4107,491.3148,-nan
cant.mtx,ELL,32,0.000047085,0.000000000,170.2198,1053.1512,nan
cant.mtx,ELL,64,0.000040141,0.000000000,199.6663,1235.3372,nan
cant.mtx,ELL,128,0.000048742,0.000000000,164.4311,1017.3364,nan
cant.mtx,ELL,256,0.000095232,0.000000000,84.1604,520.7012,nan
e40r5000.mtx,CSR-v1,32,0.000034598,0.000000000,32.0221,204.1197,-nan
e40r5000.mtx,CSR-v1,64,0.000016224,0.000000000,68.2885,435.2943,-nan
e40r5000.mtx,CSR-v1,128,0.000018842,0.000000000,58.8014,374.8204,-nan
e40r5000.mtx,CSR-v1,256,0.000032358,0.000000000,34.2388,218.2499,-nan
e40r5000.mtx,ELL,32,0.000021069,0.000000000,52.5854,335.1978,nan
e40r5000.mtx,ELL,64,0.000017203,0.000000000,64.4015,410.5175,nan
e40r5000.mtx,ELL,128,0.000017997,0.000000000,61.5616,392.4151,nan
e40r5000.mtx,ELL,256,0.000030906,0.000000000,35.8483,228.5093,nan
name131.mtx,CSR-v1,32,0.000025190,0.000000000,0.0426,0.3801,0.000000e+00
name131.mtx,CSR-v1,64,0.000006790,0.000000000,0.1579,1.4102,0.000000e+00
name131.mtx,CSR-v1,128,0.000006752,0.000000000,0.1588,1.4182,0.000000e+00
name131.mtx,CSR-v1,256,0.000006771,0.000000000,0.1583,1.4142,0.000000e+00
plsk1919.mtx,CSR-v1,32,0.000025600,0.000000000,0.3774,4.0636,-nan
plsk1919.mtx,CSR-v1,64,0.000007904,0.000000000,1.2224,13.1614,-nan
plsk1919.mtx,CSR-v1,128,0.000007795,0.000000000,1.2395,13.3451,-nan
plsk1919.mtx,CSR-v1,256,0.000009370,0.000000000,1.0312,11.1027,-nan
