GPU 0: NVIDIA L40S (UUID: GPU-0944eb26-3386-b88c-a881-97acae07a3d9)
matrix,kernel,config,time_sec,na,gflops,eff_bw,err
bcsstk.mtx,cusparse_csr,0,0.000043858,0.000000000,6.7987,47.3305,2.529398e-05
bcsstk.mtx,CSR,32,0.000013412,0.000000000,22.2331,154.7798,1.902805e-05
bcsstk.mtx,CSR,64,0.000014584,0.000000000,20.4457,142.3363,1.902957e-05
bcsstk.mtx,CSR,128,0.000024177,0.000000000,12.3334,85.8611,1.902957e-05
bcsstk.mtx,CSR,256,0.000046850,0.000000000,6.3646,44.3084,1.902957e-05
bcsstk.mtx,ELL,32,0.000012900,0.000000000,23.1156,160.9232,1.902805e-05
bcsstk.mtx,ELL,64,0.000014539,0.000000000,20.5096,142.7811,1.902957e-05
bcsstk.mtx,ELL,128,0.000024108,0.000000000,12.3684,86.1050,1.902957e-05
bcsstk.mtx,ELL,256,0.000046734,0.000000000,6.3804,44.4179,1.902957e-05
bcsstk.mtx,SELL-C-Sigma,32,0.000011246,0.000000000,26.5149,184.5880,1.209781e-05
bcsstk.mtx,CSR5,32,0.000007168,0.000000000,41.5988,289.5971,1.695841e-06
cant.mtx,cusparse_csr,0,0.000078169,0.000000000,102.5317,634.3646,1.785679e-10
cant.mtx,CSR,32,0.000040823,0.000000000,196.3310,1214.7015,1.830217e-10
cant.mtx,CSR,64,0.000054490,0.000000000,147.0863,910.0239,1.768525e-10
cant.mtx,CSR,128,0.000105331,0.000000000,76.0916,470.7790,1.769595e-10
cant.mtx,CSR,256,0.000222033,0.000000000,36.0972,223.3339,1.769595e-10
cant.mtx,ELL,32,0.000040572,0.000000000,197.5435,1222.2030,1.830217e-10
cant.mtx,ELL,64,0.000054740,0.000000000,146.4164,905.8797,1.768525e-10
cant.mtx,ELL,128,0.000105159,0.000000000,76.2157,471.5469,1.769595e-10
cant.mtx,ELL,256,0.000221573,0.000000000,36.1722,223.7974,1.769595e-10
cant.mtx,SELL-C-Sigma,32,0.000020832,0.000000000,384.7275,2380.3121,1.195589e-10
cant.mtx,CSR5,32,0.000117760,0.000000000,68.0602,421.0888,7.723135e-11
e40r5000.mtx,cusparse_csr,0,0.000046543,0.000000000,23.8042,151.7362,2.079866e-13
e40r5000.mtx,CSR,32,0.000016208,0.000000000,68.3572,435.7327,1.894034e-13
e40r5000.mtx,CSR,64,0.000018668,0.000000000,59.3467,378.2962,1.895257e-13
e40r5000.mtx,CSR,128,0.000032953,0.000000000,33.6213,214.3141,1.895257e-13
e40r5000.mtx,CSR,256,0.000065423,0.000000000,16.9347,107.9475,1.895257e-13
e40r5000.mtx,ELL,32,0.000015740,0.000000000,70.3862,448.6659,1.894034e-13
e40r5000.mtx,ELL,64,0.000018733,0.000000000,59.1419,376.9909,1.895257e-13
e40r5000.mtx,ELL,128,0.000032868,0.000000000,33.7074,214.8629,1.895257e-13
e40r5000.mtx,ELL,256,0.000065187,0.000000000,16.9959,108.3380,1.895257e-13
e40r5000.mtx,SELL-C-Sigma,32,0.000013578,0.000000000,81.5985,520.1373,1.260064e-13
e40r5000.mtx,CSR5,32,0.000013312,0.000000000,83.2266,530.5150,4.803611e-14
name131.mtx,cusparse_csr,0,0.000048107,0.000000000,0.0223,0.1991,3.618952e-07
name131.mtx,CSR,32,0.000006957,0.000000000,0.1541,1.3764,1.996512e-07
name131.mtx,CSR,64,0.000006275,0.000000000,0.1708,1.5260,1.996512e-07
name131.mtx,CSR,128,0.000006426,0.000000000,0.1668,1.4903,1.996512e-07
name131.mtx,CSR,256,0.000006824,0.000000000,0.1571,1.4032,1.996512e-07
name131.mtx,ELL,32,0.000006328,0.000000000,0.1694,1.5132,1.996512e-07
name131.mtx,ELL,64,0.000006243,0.000000000,0.1717,1.5338,1.996512e-07
name131.mtx,ELL,128,0.000006364,0.000000000,0.1684,1.5046,1.996512e-07
name131.mtx,ELL,256,0.000006706,0.000000000,0.1599,1.4279,1.996512e-07
name131.mtx,SELL-C-Sigma,32,0.000007465,0.000000000,0.1436,1.2828,4.711573e-07
name131.mtx,CSR5,32,0.000006144,0.000000000,0.1745,1.5586,3.725290e-09
plsk1919.mtx,cusparse_csr,0,0.000048967,0.000000000,0.1973,2.1244,4.919251e-16
plsk1919.mtx,CSR,32,0.000008089,0.000000000,1.1944,12.8600,5.660864e-16
plsk1919.mtx,CSR,64,0.000007301,0.000000000,1.3234,14.2488,5.660864e-16
plsk1919.mtx,CSR,128,0.000009034,0.000000000,1.0695,11.5149,5.660864e-16
plsk1919.mtx,CSR,256,0.000012899,0.000000000,0.7491,8.0649,5.660864e-16
plsk1919.mtx,ELL,32,0.000007313,0.000000000,1.3212,14.2245,5.660864e-16
plsk1919.mtx,ELL,64,0.000007244,0.000000000,1.3339,14.3615,5.660864e-16
plsk1919.mtx,ELL,128,0.000008873,0.000000000,1.0889,11.7237,5.660864e-16
plsk1919.mtx,ELL,256,0.000012736,0.000000000,0.7586,8.1678,5.660864e-16
plsk1919.mtx,SELL-C-Sigma,32,0.000006783,0.000000000,1.4244,15.3358,4.532082e-16
plsk1919.mtx,CSR5,32,0.000006144,0.000000000,1.5726,16.9316,3.103168e-17
